penyataan id,penyataan,sumber id,sumber,label
1,Ali Rustam keluar UMNO hari ini,1,Ali Rustam menafikan desas desus dan tidak berhasrat untuk keluar UMNO,tidak setuju
1,Ali Rustam keluar UMNO hari ini,2,Tan Sri Mohd Ali Mohd Rustam merupakan seorang ahli UMNO,berkaitan
1,Ali Rustam keluar UMNO hari ini,3,"Sehingga hari ini Ali Rustam masih tetap dengan Umno, sekali gus menafikan dirinya, Tan Sri Mohd Ali Mohd Rustam keluar parti itu.",tidak setuju
2,Ali Rustam nafi keluar UMNO,4,Ali Rustam menafikan desas desus dan tidak berhasrat untuk keluar UMNO,setuju
2,Ali Rustam nafi keluar UMNO,5,Tan Sri Mohd Ali Mohd Rustam merupakan seorang ahli UMNO,berkaitan
2,Ali Rustam nafi keluar UMNO,6,"Sehingga hari ini Ali Rustam masih tetap dengan Umno, sekali gus menafikan dirinya, Tan Sri Mohd Ali Mohd Rustam keluar parti itu.",setuju
3,Dewan Negara tidak lulus pindaan AUKU,7,Dewan Rakyat hari ini meluluskan rang undang-undang pindaan Akta Universiti dan Kolej Universiti (Auku) untuk membenarkan pelajar terlibat dalam kegiatan politik kepartian dalam kampus.,tidak setuju
3,Dewan Negara tidak lulus pindaan AUKU,8, Akta Universiti dan Kolej Universiti (Auku) membenarkan pelajar terlibat dalam kegiatan politik kepartian dalam kampus kelihatan berbahaya kerana takut mengganggu aktiviti social pelajar,berkaitan
3,Dewan Negara tidak lulus pindaan AUKU,9,Dewan Negara lulus pindaan Akta Kebankrapan,tidak berkaitan
3,Dewan Negara tidak lulus pindaan AUKU,10,Dewan Negara tolak RUU Antiberita Tidak Benar (Pemansuhan) 2018,tidak berkaitan
4,Dewan Negara lulus pindaan AUKU,11,Dewan Rakyat hari ini meluluskan rang undang-undang pindaan Akta Universiti dan Kolej Universiti (Auku) untuk membenarkan pelajar terlibat dalam kegiatan politik kepartian dalam kampus.,setuju
4,Dewan Negara lulus pindaan AUKU,12, Akta Universiti dan Kolej Universiti (Auku) membenarkan pelajar terlibat dalam kegiatan politik kepartian dalam kampus kelihatan berbahaya kerana takut mengganggu aktiviti social pelajar,berkaitan
4,Dewan Negara lulus pindaan AUKU,13,Dewan Negara lulus pindaan Akta Kebankrapan,tidak berkaitan
4,Dewan Negara lulus pindaan AUKU,14,Dewan Negara tolak RUU Antiberita Tidak Benar (Pemansuhan) 2018,tidak berkaitan
5,Ismail Sabri bukan Timbalan Presiden UMNO,15,Jawatan dalam UMNO perlu dipertandingkan,tidak berkaitan
5,Ismail Sabri bukan Timbalan Presiden UMNO,16,Ismail Sabri pikul tanggungjawab sebagai Timbalan Presiden UMNO,tidak setuju
5,Ismail Sabri bukan Timbalan Presiden UMNO,17,"Ku Li, KJ dan Zahid antara lima calon jawatan Presiden UMNO ...",tidak berkaitan
6,Ismail Sabri galas tugas Timbalan Presiden UMNO,18,Jawatan dalam UMNO perlu dipertandingkan,tidak berkaitan
6,Ismail Sabri galas tugas Timbalan Presiden UMNO,19,Ismail Sabri pikul tanggungjawab sebagai Timbalan Presiden UMNO,setuju
6,Ismail Sabri galas tugas Timbalan Presiden UMNO,20,"Ku Li, KJ dan Zahid antara lima calon jawatan Presiden UMNO ...",tidak berkaitan
7,"Benjy semakin sihat, tiada sakit Tibi",21,Keadaan Benjy semakin merosot dan kelihat menderita. Beliau dikatakan hampir positif sakit Tibi,tidak setuju
7,"Benjy semakin sihat, tiada sakit Tibi",22,Benjy dibebaskan dari tuduhan miliki syabu,tidak berkaitan
8,Benjy hampir positif sakit Tibi,23,Keadaan Benjy semakin merosot dan kelihat menderita. Beliau dikatakan hampir positif sakit Tibi,setuju
8,Benjy hampir positif sakit Tibi,24,Benjy dibebaskan dari tuduhan miliki syabu,tidak berkaitan
9,Honda tidak pecat kakitangan hina kematian Muhammad Adib,25,Kakitangan Honda hina kematian Muhammad Adib dipecat oleh Honda,tidak setuju
9,Honda tidak pecat kakitangan hina kematian Muhammad Adib,26,"Hina pemergian Adib, kakitangan Honda Sri Utama digantung tugas",tidak setuju
9,Honda tidak pecat kakitangan hina kematian Muhammad Adib,27,Muhammad Adib diberi kenaikan pangkat,tidak berkaitan
10,Honda pecat kakitangan hina kematian Muhammad Adib,28,Kakitangan Honda hina kematian Muhammad Adib dipecat oleh Honda,setuju
10,Honda pecat kakitangan hina kematian Muhammad Adib,29,"Hina pemergian Adib, kakitangan Honda Sri Utama digantung tugas",setuju
10,Honda pecat kakitangan hina kematian Muhammad Adib,30,Muhammad Adib diberi kenaikan pangkat,tidak berkaitan
11,kes tetak kerani hingga mati adalah palsu,31,"Mengamuk dengan majikan, sudahnya tetak kerani hingga mati",tidak setuju
11,kes tetak kerani hingga mati adalah palsu,32,Suspek tetak kerani hingga mati diburu,tidak setuju
11,kes tetak kerani hingga mati adalah palsu,33,"Lelaki warga Indonesia tetak mati pekerja kilang, ditahan polis",tidak setuju
11,kes tetak kerani hingga mati adalah palsu,34,"Gara-gara tidak puas hati dengan layanan, pekerja bunuh majikan",tidak setuju
11,kes tetak kerani hingga mati adalah palsu,35,Lelaki Myanmar mengamuk ditemukan mati di dalam rumah,tidak berkaitan
12,kes tetak kerani hingga mati kerana mengamuk dengan majikan,36,"Mengamuk dengan majikan, sudahnya tetak kerani hingga mati",setuju
12,kes tetak kerani hingga mati kerana mengamuk dengan majikan,37,Suspek tetak kerani hingga mati diburu,setuju
12,kes tetak kerani hingga mati kerana mengamuk dengan majikan,38,"Lelaki warga Indonesia tetak mati pekerja kilang, ditahan polis",setuju
12,kes tetak kerani hingga mati kerana mengamuk dengan majikan,39,"Gara-gara tidak puas hati dengan layanan, pekerja bunuh majikan",setuju
12,kes tetak kerani hingga mati kerana mengamuk dengan majikan,40,Lelaki Myanmar mengamuk ditemukan mati di dalam rumah,tidak berkaitan
13,Nama Sajat tak ada Muhammad,41,Sebutan kes Mahkamah Muhammad Sajat kerana gagal kemuka penyata GST,tidak setuju
13,Nama Sajat tak ada Muhammad,42,"Sajat didenda RM2,700 gagal kemuka penyata GST",tidak berkaitan
13,Nama Sajat tak ada Muhammad,43,Mahkamah memanggil sajat dengan gelaran Muhammad Sajat jelas menunjukkan bahawa beliau merupakan lelaki,tidak setuju
14,Nama Sajat ada Muhammad,44,Sebutan kes Mahkamah Muhammad Sajat kerana gagal kemuka penyata GST,setuju
14,Nama Sajat ada Muhammad,45,"Sajat didenda RM2,700 gagal kemuka penyata GST",tidak berkaitan
14,Nama Sajat ada Muhammad,46,Mahkamah memanggil sajat dengan gelaran Muhammad Sajat jelas menunjukkan bahawa beliau merupakan lelaki,setuju
15,"Nur Sajat tidak didenda RM 2,700",47,Sebutan kes Mahkamah Muhammad Sajat kerana gagal kemuka penyata GST,tidak setuju
15,"Nur Sajat tidak didenda RM 2,700",48,"Nur Sajat didenda RM 2,700 gagal kemuka penyata GST",tidak setuju
15,"Nur Sajat tidak didenda RM 2,700",49,Nama saya tidak ada Muhammad Sajat,tidak berkaitan
16,Nur Sajat didenda kerana gagal kemuka penyata GST,50,Sebutan kes Mahkamah Muhammad Sajat kerana gagal kemuka penyata GST,setuju
16,Nur Sajat didenda kerana gagal kemuka penyata GST,51,"Nur Sajat didenda RM2,700 gagal kemuka penyata GST",setuju
16,Nur Sajat didenda kerana gagal kemuka penyata GST,52,Nama saya tidak ada Muhammad Sajat,tidak berkaitan
17,Tiada nama Yeo Bee Yin dalam jurnal sains terkemuka dunia,53,Bee Yin diiktiraf Jurnal Nature's 10 keranakelantangan beliau dalam memerangi pencemaran plastik.,tidak setuju
17,Tiada nama Yeo Bee Yin dalam jurnal sains terkemuka dunia,54,Bee Yin sertai 10 senarai individu penting dunia sains bagi tahun 2018 di dalam jurnal Nature's 10,tidak setuju
17,Tiada nama Yeo Bee Yin dalam jurnal sains terkemuka dunia,55,"Bee Yin pada masa sama amat risau tentang pencemaran plastik, terutamanya penggunaan plastik sekali guna. ",tidak berkaitan
18,Yeo Bee Yin diiktiraf jurnal sains terkemuka dunia,56,Bee Yin diiktiraf Jurnal Nature's 10 keranakelantangan beliau dalam memerangi pencemaran plastik.,setuju
18,Yeo Bee Yin diiktiraf jurnal sains terkemuka dunia,57,Bee Yin sertai 10 senarai individu penting dunia sains bagi tahun 2018 di dalam jurnal Nature's 10,setuju
18,Yeo Bee Yin diiktiraf jurnal sains terkemuka dunia,58,"Bee Yin pada masa sama amat risau tentang pencemaran plastik, terutamanya penggunaan plastik sekali guna. ",tidak berkaitan
19,najib tidak diikat jamin,59,Mahkamah benar Najib diikat jamin RM3.5 juta,tidak setuju
19,najib tidak diikat jamin,60,Najib diikat jamin RM3.5 juta,tidak setuju
19,najib tidak diikat jamin,61,Najib dibebas dengan ikat jamin RM3.5 juta,tidak setuju
19,najib tidak diikat jamin,62,NAJIB TUN RAZAK melambaikan tangan selepas diikat jamin RM3.5 juta,tidak setuju
19,najib tidak diikat jamin,63,Najib Razak ke Mahkamah dan mengaku tidak bersalah,tidak berkaitan
20,najib diikat jamin,64,Mahkamah benar Najib diikat jamin RM3.5 juta,setuju
20,najib diikat jamin,65,Najib diikat jamin RM3.5 juta - Video - Utusan Online,setuju
20,najib diikat jamin,66,Najib dibebas dengan ikat jamin RM3.5 juta,setuju
20,najib diikat jamin,67,NAJIB TUN RAZAK melambaikan tangan selepas diikat jamin RM3.5 juta,setuju
20,najib diikat jamin,68,Najib Razak ke Mahkamah dan mengaku tidak bersalah,tidak berkaitan
21,kfc tidak halal,69,Hidangan KFC 100 peratus halal,tidak setuju
21,kfc tidak halal,70,Semua KFC Malaysia halal dan diikhtiraf JAKIM,tidak setuju
21,kfc tidak halal,71,Malaysia tempat pertama status hab halal tiga sektor,tidak berkaitan
21,kfc tidak halal,72,KFC merupakan syarikat makanan yang berpusat di Amerika. Sijil Halal jakim perlulah diperolehi oleh syarikat tersebut.,berkaitan
22,kfc halal,73,Hidangan KFC 100 peratus halal,setuju
22,kfc halal,74,Semua KFC Malaysia halal dan diikhtiraf JAKIM,setuju
22,kfc halal,75,Malaysia tempat pertama status hab halal tiga sektor,tidak berkaitan
22,kfc halal,76,KFC merupakan syarikat makanan yang berpusat di Amerika. Sijil Halal jakim perlulah diperolehi oleh syarikat tersebut.,berkaitan
23,vietnam kalah dalam piala aff suzuki 2018,77,Final 1 Piala AFF Suzuki 2018: Malaysia ikat Vietnam 2-2 di laman sendiri,berkaitan
23,vietnam kalah dalam piala aff suzuki 2018,78,5 sebab mengapa Malaysia mampu benam Vietnam,tidak berkaitan
23,vietnam kalah dalam piala aff suzuki 2018,79,Piala AFF Suzuki 2018 - 85 peratus undian Harimau Malaya menang,tidak berkaitan
23,vietnam kalah dalam piala aff suzuki 2018,80,Final Piala AFF Suzuki 2018: Dr Mahathir harap Harimau Malaya menang,tidak berkaitan
23,vietnam kalah dalam piala aff suzuki 2018,81,Malaysia jumpa Vietnam di pentas akhir Piala AFF Suzuki 2018,berkaitan
23,vietnam kalah dalam piala aff suzuki 2018,82,Vietnam juarai Final Piala AFF Suzuki 2018 dengan menewaskan Malaysia 3-2,tidak setuju
23,vietnam kalah dalam piala aff suzuki 2018,83,Malaysia gagal menjuarai Piala AFF Suzuki 2018 selepas tewas ditangan Vietnam 2-3,tidak setuju
24,vietnam menang dalam piala aff suzuki 2018,84,Final 1 Piala AFF Suzuki 2018: Malaysia ikat Vietnam 2-2 di laman sendiri,berkaitan
24,vietnam menang dalam piala aff suzuki 2018,85,5 sebab mengapa Malaysia mampu benam Vietnam,tidak berkaitan
24,vietnam menang dalam piala aff suzuki 2018,86,Piala AFF Suzuki 2018 - 85 peratus undian Harimau Malaya menang,tidak berkaitan
24,vietnam menang dalam piala aff suzuki 2018,87,Final Piala AFF Suzuki 2018: Dr Mahathir harap Harimau Malaya menang,tidak berkaitan
24,vietnam menang dalam piala aff suzuki 2018,88,Malaysia jumpa Vietnam di pentas akhir Piala AFF Suzuki 2018,berkaitan
24,vietnam menang dalam piala aff suzuki 2018,89,Vietnam juarai Final Piala AFF Suzuki 2018 dengan menewaskan Malaysia 3-2,setuju
24,vietnam menang dalam piala aff suzuki 2018,90,Malaysia gagal menjuarai Piala AFF Suzuki 2018 selepas tewas ditangan Vietnam 2-3,setuju
25,malaysia menang dalam piala aff suzuki 2018,91,"Malaysia kempunan, Vietnam julang trofi Piala AFF Suzuki 2018",tidak setuju
25,malaysia menang dalam piala aff suzuki 2018,92,"Vietnam juara, Harimau Malaya tetap terbaik",tidak setuju
25,malaysia menang dalam piala aff suzuki 2018,93,"Piala AFF: Akuilah, Vietnam lebih hebat (Malaysia 0-1 Vietnam)",tidak setuju
25,malaysia menang dalam piala aff suzuki 2018,94,"Harimau Malaya rebah di Hanoi, Vietnam",tidak setuju
25,malaysia menang dalam piala aff suzuki 2018,95,Jaringan awal Vietnam musnahkan Malaysia,tidak setuju
26,malaysia kalah dalam piala aff suzuki 2018,96,"Malaysia kempunan, Vietnam julang trofi Piala AFF Suzuki 2018",setuju
26,malaysia kalah dalam piala aff suzuki 2018,97,"Vietnam juara, Harimau Malaya tetap terbaik",setuju
26,malaysia kalah dalam piala aff suzuki 2018,98,"Piala AFF: Akuilah, Vietnam lebih hebat (Malaysia 0-1 Vietnam)",setuju
26,malaysia kalah dalam piala aff suzuki 2018,99,"Harimau Malaya rebah di Hanoi, Vietnam",setuju
26,malaysia kalah dalam piala aff suzuki 2018,100,Jaringan awal Vietnam musnahkan Malaysia,setuju
27,adib masih hidup,101,Adib meninggalkan kita,tidak setuju
27,adib masih hidup,102,Adib meninggal dunia: Kerajaan Selangor berdukacita,tidak setuju
27,adib masih hidup,103,Adib meninggal dunia di IJN,tidak setuju
27,adib masih hidup,104,Muhammad Adib meninggal dunia,tidak setuju
27,adib masih hidup,105,Kronologi kes kematian Muhammad Adib,tidak setuju
27,adib masih hidup,106,Polis klasifikasikan kematian Adib sebagai kes bunuh,tidak setuju
27,adib masih hidup,107,Tubuh RCI siasat kematian Adib,tidak setuju
27,adib masih hidup,108,Kesatuan tuntut hukuman setimpal kematian Muhammad Adib,tidak setuju
27,adib masih hidup,109,Adib bakal berkahwin,tidak berkaitan
28,adib meninggal dunia,110,Adib meninggalkan kita,setuju
28,adib meninggal dunia,111,Adib meninggal dunia: Kerajaan Selangor berdukacita,setuju
28,adib meninggal dunia,112,Adib meninggal dunia di IJN,setuju
28,adib meninggal dunia,113,Muhammad Adib meninggal dunia,setuju
28,adib meninggal dunia,114,Kronologi kes kematian Muhammad Adib,setuju
28,adib meninggal dunia,115,Polis klasifikasikan kematian Adib sebagai kes bunuh,setuju
28,adib meninggal dunia,116,Tubuh RCI siasat kematian Adib,setuju
28,adib meninggal dunia,117,Kesatuan tuntut hukuman setimpal kematian Muhammad Adib,setuju
28,adib meninggal dunia,118,Adib bakal berkahwin,tidak berkaitan
29,tun dr mahathir mati,119,"Rahsia Mahathir kekal sihat, aktif ",tidak setuju
30,tun dr mahathir hidup dan sihat,120,"Rahsia Mahathir kekal sihat, aktif ",setuju
31,najib mati,121,Najib terus bertenaga walaupun selepas tewas PRU,tidak setuju
31,najib mati,122,Hidup perlu diteruskan - Najib,tidak setuju
31,najib mati,123,PM Najib mahu rakyat jadikan gaya hidup sihat amalan seharian,tidak berkaitan
31,najib mati,124,Najib punca kenaikan kos hidup,tidak berkaitan
32,najib hidup,125,Najib terus bertenaga walaupun selepas tewas PRU,setuju
32,najib hidup,126,Hidup perlu diteruskan - Najib,setuju
32,najib hidup,127,PM Najib mahu rakyat jadikan gaya hidup sihat amalan seharian,tidak berkaitan
32,najib hidup,128,Najib punca kenaikan kos hidup,tidak berkaitan
33,himpunan icerd tidak wujud,129,Polis tutup enam jalan sempena perhimpunan Icerd,tidak setuju
33,himpunan icerd tidak wujud,130,Perhimpunan ICERD : Jangan lakukan kekecohan,berkaitan
33,himpunan icerd tidak wujud,131,DBKL benarkan perhimpunan ICERD,tidak setuju
33,himpunan icerd tidak wujud,132,Polis pantau perhimpunan ICERD,tidak setuju
33,himpunan icerd tidak wujud,133,Perhimpunan besar-besaran 8 Disember bantah ICERD dibanjiri manusia,tidak setuju
33,himpunan icerd tidak wujud,134,Lebih 1000 hadir himpunan bantah ICERD di ibu negara,tidak setuju
33,himpunan icerd tidak wujud,135,Orang Melayu perlu bersatu padu bersama UMNO - Najib,tidak berkaitan
34,himpunan bantah icerd wujud dan meriah,136,Polis tutup enam jalan sempena perhimpunan Icerd,setuju
34,himpunan bantah icerd wujud dan meriah,137,Perhimpunan ICERD : Jangan lakukan kekecohan,berkaitan
34,himpunan bantah icerd wujud dan meriah,138,DBKL benarkan perhimpunan ICERD,setuju
34,himpunan bantah icerd wujud dan meriah,139,Polis pantau perhimpunan ICERD,setuju
34,himpunan bantah icerd wujud dan meriah,140,Perhimpunan besar-besaran 8 Disember bantah ICERD dibanjiri manusia,setuju
34,himpunan bantah icerd wujud dan meriah,141,Lebih 1000 hadir himpunan bantah ICERD di ibu negara,setuju
34,himpunan bantah icerd wujud dan meriah,142,Orang Melayu perlu bersatu padu bersama UMNO - Najib,tidak berkaitan
35,tun dr mahathir bukan perdana menteri ke-7,143,Dr Mahathir angkat sumpah PM ke-7,tidak setuju
35,tun dr mahathir bukan perdana menteri ke-7,144,Tun Mahathir angkat sumpah perdana menteri ke-7,tidak setuju
35,tun dr mahathir bukan perdana menteri ke-7,145,Dr Mahathir PM ke-7,tidak setuju
35,tun dr mahathir bukan perdana menteri ke-7,146,"Dr. Mahathir umum 10 kementerian, Azizah dilantik TPM",berkaitan
35,tun dr mahathir bukan perdana menteri ke-7,147,Tun Mahathir Perdana Menteri Malaysia ke-7,tidak setuju
35,tun dr mahathir bukan perdana menteri ke-7,148,Perdana Menteri ke-7 yang baru di lantik Tun Dr. Mahathir,tidak setuju
35,tun dr mahathir bukan perdana menteri ke-7,149,Dr Mahathir akan halang pengampunan Anwar,tidak berkaitan
35,tun dr mahathir bukan perdana menteri ke-7,150,Tun Mahathir angkat sumpah sebagai Perdana Menteri ke-7,tidak setuju
35,tun dr mahathir bukan perdana menteri ke-7,151,"Tun Dr Mahathir, pemimpin pilihan rakyat",tidak setuju
35,tun dr mahathir bukan perdana menteri ke-7,152,"Rakyat Malaysia sebak, bangga saat Tun Mahathir rasmi jadi perdana menteri ke-7",tidak setuju
36,tun dr mahathir perdana menteri ke-7,153,Dr Mahathir angkat sumpah PM ke-7,setuju
36,tun dr mahathir perdana menteri ke-7,154,Tun Mahathir angkat sumpah perdana menteri ke-7,setuju
36,tun dr mahathir perdana menteri ke-7,155,Dr Mahathir PM ke-7,setuju
36,tun dr mahathir perdana menteri ke-7,156,"Dr. Mahathir umum 10 kementerian, Azizah dilantik TPM",berkaitan
36,tun dr mahathir perdana menteri ke-7,157,Tun Mahathir Perdana Menteri Malaysia ke-7,setuju
36,tun dr mahathir perdana menteri ke-7,158,Perdana Menteri ke-7 yang baru di lantik Tun Dr. Mahathir,setuju
36,tun dr mahathir perdana menteri ke-7,159,Dr Mahathir akan halang pengampunan Anwar,tidak berkaitan
36,tun dr mahathir perdana menteri ke-7,160,Tun Mahathir angkat sumpah sebagai Perdana Menteri ke-7,setuju
36,tun dr mahathir perdana menteri ke-7,161,"Tun Dr Mahathir, pemimpin pilihan rakyat",setuju
36,tun dr mahathir perdana menteri ke-7,162,"Rakyat Malaysia sebak, bangga saat Tun Mahathir rasmi jadi perdana menteri ke-7",setuju
37,anwar tidak akan ganti mahathir,163,Mahathir bakal beri Laluan kepada Anwar menjadi Perdana Menteri,tidak setuju
37,anwar tidak akan ganti mahathir,164,Mahathir berkata Anwar akan ganti beliau sebagai Perdana Menteri,tidak setuju
37,anwar tidak akan ganti mahathir,165,Anwar perlu jadi PM selepas Tun - Khairy,berkaitan
37,anwar tidak akan ganti mahathir,166,Wan Azizah akan lepas jawatan selepas Anwar jadi PM,berkaitan
37,anwar tidak akan ganti mahathir,167,"PRK lagi, Anwar nak kerusi mana",tidak berkaitan
37,anwar tidak akan ganti mahathir,168,Rakyat berhak tentukan siapa PM - Dr Mahathir,berkaitan
38,anwar bakal ganti mahathir,169,Mahathir bakal beri Laluan kepada Anwar menjadi Perdana Menteri,setuju
38,anwar bakal ganti mahathir,170,Mahathir berkata Anwar akan ganti beliau sebagai Perdana Menteri,setuju
38,anwar bakal ganti mahathir,171,Anwar perlu jadi PM selepas Tun - Khairy,berkaitan
38,anwar bakal ganti mahathir,172,Wan Azizah akan lepas jawatan selepas Anwar jadi PM,berkaitan
38,anwar bakal ganti mahathir,173,"PRK lagi, Anwar nak kerusi mana",tidak berkaitan
38,anwar bakal ganti mahathir,174,Rakyat berhak tentukan siapa PM - Dr Mahathir,berkaitan
39,cadburry diperbuat daripada babi,175,Coklat Cadbury halal,tidak setuju
39,cadburry diperbuat daripada babi,176,Pegawai JAKIM sedia makan coklat Cadbury untuk buktikan halal,tidak setuju
39,cadburry diperbuat daripada babi,177,cadburry luar negara tidak halal,tidak berkaitan
40,cadburry tidak diperbuat daripada babi,178,Coklat Cadbury halal,setuju
40,cadburry tidak diperbuat daripada babi,179,Pegawai JAKIM sedia makan coklat Cadbury untuk buktikan halal,setuju
40,cadburry tidak diperbuat daripada babi,180,cadburry luar negara tidak halal,tidak berkaitan
41,sushiking haram dimakan,181,Sushiking halal dan diikhtiraf jakim,tidak setuju
41,sushiking haram dimakan,182,Sushiking tidak halal adalah palsu,tidak setuju
42,sushiking boleh dimakan,183,Sushiking halal dan diikhtiraf jakim,setuju
42,sushiking boleh dimakan,184,Sushiking tidak halal adalah palsu,setuju
43,sri serdang banjir tahun ini,185,Mangsa banjir terima sumbangan,berkaitan
43,sri serdang banjir tahun ini,186,"Banjir Kilat Di Sri Serdang, Selangor tidak berlaku",tidak setuju
43,sri serdang banjir tahun ini,187,Bekalan makanan mencukupi hadapi musim banjir,berkaitan
43,sri serdang banjir tahun ini,188,"Tiada Banjir landa Serdang, Kajang",tidak setuju
44,sri serdang tidak banjir tahun ini,189,Mangsa banjir terima sumbangan,berkaitan
44,sri serdang tidak banjir tahun ini,190,"Banjir Kilat Di Sri Serdang, Selangor tidak berlaku",setuju
44,sri serdang tidak banjir tahun ini,191,Bekalan makanan mencukupi hadapi musim banjir,berkaitan
44,sri serdang tidak banjir tahun ini,192,"Tiada Banjir landa Serdang, Kajang",setuju
45,nurul izzah tidak letak jawatan naib presiden pkr,193,"Nurul Izzah letak jawatan: PKR Permatang Pauh terkejut, sedih lompat parti",tidak setuju
45,nurul izzah tidak letak jawatan naib presiden pkr,194,Nurul Izzah letak jawatan Naib Presiden PKR,tidak setuju
45,nurul izzah tidak letak jawatan naib presiden pkr,195,"Nurul Izzah letak jawatan Naib Presiden, Pengerusi PKR Pulau Pinang",tidak setuju
45,nurul izzah tidak letak jawatan naib presiden pkr,196,Pemimpin Umno keluar parti antara punca Nurul Izzah letak jawatan,tidak setuju
45,nurul izzah tidak letak jawatan naib presiden pkr,197,Nurul Izzah letak jawatan,tidak setuju
45,nurul izzah tidak letak jawatan naib presiden pkr,198,"PKR Permatang Pauh terkejut, sedih Nurul Izzah letak jawatan",tidak setuju
45,nurul izzah tidak letak jawatan naib presiden pkr,199,Nurul Izzah umum letak jawatan dalam PKR,tidak setuju
